Language code (ISO 639-1),lang-code,en,fr,af,sq,ar,hy,bg,zh,zh-Hans,cs,nl,et,de,el,hi,hu,is,id,it,iu,ja,ko,lv,lt,pl,pt,pt-BR,ru,sk,es,th,tr,uk,vi
,shr-all,Show all ({n}),Tous montrer ({n}),Toon alle  ({n}),Trego të gjitha ({n}),عرض كل ({n}),Ցուցադրել բոլորը ({n}),Виж всички ({n}),顯示全部{n},展示全部{n},Zobrazit všechny ({n}),Toon alles ({n}),Näita kõiki ({n}),Alle anzeigen ({n}),Εμφάνιση όλων ({n}),सभी दिखाएं ({n}),Mutassa mindet - Mutassa mind a {n}-t,Sýna allt ({n}),Tampilkan semua ({n}),Mostra tutto ({n}),ᓴᖅᑭᑦᑐᐃᓇᐅᓕ ({n}),({n})をすべて表示,모두 ({n}) 표시,Rādīt visu ({n}),Rodyti visus ({n}),Pokaż wszystko ({n}),Mostrar tudo ({n}),Mostrar tudo ({n}),Показать все ({п}),Zobraziť všetky ({n}),Mostrar todo ({п}),แสดงทั้งหมด ({n}),Tümünü göster ({n}),Показати все ({п}),Hiển thị tất cả ({n})
,shr-all-ttl,All bookmarking sites,Tout les sites de mise en signet,Alle boekmerkwebwerf webwerwe,Të gjitha faqet bookmarking,جميع مواقع ارتباطك,Բոլոր ճանապարհները կայքեր,Всички Маркиране на сайтове,所有書籤網站,所有收藏的页面,Všechny bookmarking stránky,Alle bookmark sites,Kõik märgitud leheküljed,Alle bookmarking sites,Όλα bookmarking περιοχές,सभी साइटों को बुकमार्क,Az összes könyvjelzős oldal,Allar bókamerki staður,Semua halaman yang disimpan,Tutti i preferiti,ᑕᒪᐃᓐᓂ ᓇᓗᓇᐃᒃᑯᓯᖅᓯᒪᔪᑦ,ブックマークサイト一覧,모든 북마크 사이트,Visas atzīmējamās lapas,Visos žymės,Wszystkie strony w zakładkach,Todas as páginas salvas nos favoritos,Todas as páginas salvas em favoritos,Все закладки сайтов,Všetky bookmarking stránky,Todos los sitios marcados como favoritos,เว็บไซต์บุ๊คมาร์คทั้งหมด,Kaydedilmiş tüm sayfalar,Всі додані сайти,Tất cả dấu các trang web
,shr-disc,No endorsement of any products or services is expressed or implied.,"Aucun appui n’est accordé, soit de façon expresse ou tacite, à aucun produit ou service.",Geen endossement van enige produkte of dienste is uitgedruk of geரliseer,Asnjë miratimi i ndonjë produkteve apo shërbimeve është shprehur apo të nënkuptuar,وأعرب عن تأييد أي أي منتجات أو خدمات أو ضمنية.,Ոչ հաստատում որեւէ արտադրանքի կամ ծառայությունների արտահայտված կամ ենթադրվող.,"Липса на одобрение на продукти или услуги, изрични или подразбиращи се",沒有明示或暗示保證代言任何產品或服務。,没有代言的任何产品或服务的明示或暗示的保证。,Č. schválení jakýchkoli výrobků nebo služeb je vyjádřené nebo předpokládané.,Er wordt hier geen goedkeuring van producten of diensten uitgedrukt.,Mistahes tootele või teenusele pole otseselt ega kaudselt toetust avaldatud.,Keine Unterstützung von Produkten oder Dienstleistungen ausdrücklich oder stillschweigend.,Δεν οπισθογράφηση των οποιωνδήποτε τα προϊόντα ή υπηρεσίες αυτών δεν εκφράζονται ή σιωπηρή.,किसी भी उत्पाद या सेवाओं की कोई समर्थन व्यक्त या निहित,I jóváhagyását olyan termékek vagy szolgáltatások kifejezett vagy hallgatólagos.,Engin áritun allar vörur eða þjónustu er gefið eða gefið í skyn.,Tidak ada dukungan dari produk atau jasa yang tersurat maupun tersi,Nessuna approvazione di prodotti o servizi è espressa o implicita,ᐊᑎᓕᐅᖅᓯᒪᔪᖃᙱᓚᖅ ᐱᖁᑎᓂᑦ ᐱᔨᑦᓯᕋᐅᑎᓂᓪᓘᓐᓃᑦ ᓴᖅᑭᔮᖅᑐᖃᙱᓚᖅ ᐊᑐᖅᑐᖃᒐᓂᓗ.,製品またはサービスを推薦／保証するものではありません。,제품이나 서비스의 어떠한 보증을 표현하거나 암시합니다.,Neviena jebkuru produktu vai pakalpojumu apstiprināšanu vai ietverta.,Išreikštų ar numanomų ne bet kokius produktus ar paslaugas įrašas.,Nie wyrażamy bezposrednio lub pośrednio poparcia dla żadnych produktów ani usług.,Não endosso de quaisquer produtos ou serviços é expressa ou implícita,"Nenhum endosso, expresso ou implícito, é concedido a quaisquer produtos ou serviços","Нет одобрение любых продуктов или услуг, выраженных или подразумеваемых.",Č schválenie akýchkoľvek výrobkov alebo služieb je vyjadrené alebo predpokladané.,No implica la promoción ni recomendación de ningún producto o servicio.,รับรองของผลิตภัณฑ์หรือบริการใด ๆ จะไม่มีการแสดงหรือโดยนัย.,Herhangi bir ürün veya hizmet yok onaylandığı ifade ya da ima edilir.,Не мається на увазі схвалення або просування будь-яких продукції або послуг,Không có chứng thực của bất kỳ sản phẩm hoặc dịch vụ được thể hiện hay ngụ ý.
Form validation,frm-nosubmit,The form could not be submitted because ,Le formulaire n\'a pu être soumis car ,"Die vorm kon nie voorgel꡷ord nie, want ",Formulari nuk mund të paraqitet për shkak ,لا يمكن أن تقدم على شكل ل ,"Ձեւը չի կարող ներկայացվել, քանի որ ","Форма не могат да се подават, тъй като ",本表格不能傳送因為,表格无法提交，因为,"Formulář nelze předloženy, protože ",Het formulier kon niet worden verwerkt omdat ,"Ankeeti ei saa esitada, kuna","Das Formular konnte nicht vorgelegt werden, da ","Το έντυπο θα μπορούσε να να δεν που υποβάλλονται, επειδή ",फार्म प्रस्तुत नहीं किया जा सका क्योंकि ,Az adatokat nem lehet elküldeni mert ,Eyðublaðið var ekki hægt að skila því ,Il modulo non poteva essere presentata in quanto ,Non è stato possibile inviare il modulo in quanto ,ᑖᓐᓇ ᑎᑎᖅᑲᖅ ᐅᑎᖅᑎᒐᒃᓴᐅᙱᑦᑐᖅ ᐅᓇ ᐱᔾᔪᑕᐅᓪᓗᓂ,フォームを送信できませんでした。原因：,양식을 제출 할 수 없습니다 때문에 ,"Formu nav iespējams iesniegt, jo ","Formos pateikti negalima, nes ","Nie można było wysłać formularza, ponieważ ",O formulário não pode ser submetido porque ,O formulário não pode ser submetido porque ,"Формы не могут быть представлены, потому что ","Formulár nemožno predložené, pretože ",El formulario no pudo ser enviado debido a ,รูปแบบไม่สามารถส่งเพราะ ,"Form gönderilemiyor, çünkü ","Форма не подається через те, що",Dạng không thể được nộp bởi vì 
,errs-fnd, errors were found., erreurs ont été trouvées., foute is gevind nie., gabime u gjetën., تم العثور على أخطاء., սխալներ չեն հայտնաբերվել., бяха открити грешки.,內有錯誤。,找到错误。, chyby byly nalezeny., er zijn fouten opgetreden.,on leitud vigu., Fehler gefunden wurden., τα σφάλματα βρέθηκαν., त्रुटियों पाया गया., hibák léptek fel., villur fundust., error ditemukan., errori sono stati trovati.,ᑕᒻᒪᖅᓯᒪᔪᓂᑦ ᖃᐅᔨᔪᖅ,複数のエラーが見つかりました。, 오류가 발견되었습니다., tika atrastas kļūdas., rastos klaidos., znaleziono błędy, erros encontrados., foram encontrados erros., были обнаружены ошибки., chyby boli nájdené., errores encontrados., พบข้อผิดพลาด., hatalar bulundu.,знайдено помилки., lỗi đã được tìm thấy.
,err-fnd, error was found., erreur a été trouvée., fout gevind word., gabim u gjet., تم العثور على خطأ., սխալ է գտնվել., грешка е намерен.,出現錯誤。,找到错误。, chyba byla nalezena., er is een fout opgetreden.,on leitud viga., Fehler festgestellt wurde., σφάλμα ήταν που βρέθηκαν., त्रुटि पाया गया था., hiba lépett fel., villa fannst., error ditemukan., errore è stato trovato.,ᑕᒻᒪᖅᓯᒪᔪᒥᑦ ᖃᐅᔨᔪᖅ,エラーが見つかりました。, 오류가 발견되었습니다., tika atrasta kļūda., rasta klaida., znaleziono błąd, erro encontrado., foi encontrado um erro., была обнаружена ошибка., chyba bola nájdená., error encontrado., ข้อผิดพลาดที่พบ., hata bulundu.,знайдено помилку., lỗi đã được tìm thấy.
Date picker,date-hide,Hide calendar,Masquer le calendrier,Steek kalender,Hide kalendar,إخفاء التقويم,Թաքցնել Օրացույց,Скриване на календара,隱藏行事曆,隐藏日历,Skrýt kalendář,Kalender verbergen,Peida kalender,Ausblenden Kalender,Απόκρυψη ημερολόγιο,कैलेंडर छिपाएँ,A naptár elrejtése,Fela dagatal,Sembunyikan kalender,Nascondi calendario,ᐅᓪᓗᖅᓯᐅᑎ ᓴᖅᑭᔮᕈᓐᓂᖅᑎᓪᓕ,カレンダーを非表示,캘린더 숨기기,Slēpt kalendāru,Slėpti kalendorių,Ukryj kalendarz,Ocultar o calendário,Ocultar o calendário,Скрыть календарь,Skryť kalendár,Ocultar calendario,ซ่อนปฏิทิน,Takvimi gizle,Сховати календар,Ẩn lịch
,date-show,Pick a date from a calendar for field:,Sélectionner une date à partir d\'un calendrier pour le champ:,Kies \'n datum van \'n kalender vir die veld:,Zgjidh një datë nga një kalendar për fushën:,اختيار تاريخ من التقويم لحقل:,Ընտրեք ամսաթիվը ից Օրացույց ոլորտում:,Изберете дата от календара за областта:,選擇一個日期：,从日历选择一个日期：,Vyberte datum z kalendáře pro pole:,Kies een kalenderdatum voor het veld:,Vali kalendrist kuupäev:,Wählen Sie ein Datum aus einem Kalender für das Feld:,Επιλέξτε μια ημερομηνία από το ημερολόγιο για τον τομέα:,कैलेंडर से क्षेत्र के लिए एक तारीख उठाओ,Válasszon egy dátumot a naptárból:,Veldu dagsetningu af dagatali fyrir akur:,Pilih satu tanggal pada kalender:,Scegli una data da un calendario per il campo:,ᐅᓪᓗᖅᓯᐅᑎᓂ ᐅᓪᓗᕐᒥ ᓂᕈᐊᕆᑦ ᐅᐅᒧᖓ:,カレンダーから日付を選択：,필드에 달력에서 날짜를 선택:,Izvēlēties datumu no kalendāra lauka:,Pasirinkti datą iš kalendoriaus:,Proszę wybrać datę z kalendarza:,Selecionar uma data de um calendário para o campo:,Selecionar uma data de um calendário para o campo:,Выберите дату из календаря для поля:,Vyberte dátum z kalendára pre pole,Escoger una fecha de un calendario para el campo:,เลือกวันที่จากปฏิทินสำหรับเขต,Alan için takvimden bir tarih seçiniz:,Оберіть дату в календарі:,Chọn một ngày từ lịch cho lĩnh vực:
,date-sel,Selected,Sélectionné,Gekies,I zgjedhur,مختار,Նյութերի բազա,Подбран,選擇,选中,Vybraný,Geselecteerd,Valitud,Ausgewählt,Επιλεγμένα,चयनित,Kijelölt,Valin,Sudah dipilih,Selezionato,ᓇᓗᓇᐃᒪᔪᖅ,選択済み,선택된,Atlasīts,Atrinkta,Wybrany,Selecionado,Selecionado,Выбранный,Vybraný,Seleccionado,เลือก,Seçilmiş,Вибрано,Chọn
Calendar,days-1,Sunday,Dimanche,Sondag,E diel,الأحد,Կիրակի,Неделя,星期天,星期天,Neděle,Zondag,Pühapäev,Sonntag,Κυριακή,रविवार,Vasárnap,Sunnudagur,Minggu,Domenica,ᓈᑦᑏᖑᔭᖅ,日曜日,일요일,Pirmdiena,Sekmadienis,Niedziela,Domingo,Domingo,Воскресенье,Nedeľa,Domingo,วันอาทิตย์,Pazar,Неділя,Chủ Nhật
,days-2,Monday,Lundi,Maandag,E hënë,يوم الاثنين,Երկուշաբթի,Понеделник,星期一,星期一,Pondělí,Maandag,Esmaspäev,Montag,Δευτέρα,सोमवार,Hétfő,Mánudagur,Senin,Lunedi,ᓇᒡᒐᔾᔭᐅ,月曜日,월요일,Otrdiena,Pirmadienis,Poniedziałek,Segunda-feira,Segunda-feira,Понедельник,Pondelok,Lunes,วันจันทร์,Pazartesi,Понеділок,Thứ Hai
,days-3,Tuesday,Mardi,Dinsdag,E martë,الثلاثاء,Երեքշաբթի,Вторник,星期二,星期二,Úterý,Dinsdag,Teisipäev,Dienstag,Τρίτη,मंगलवार,Kedd,Þriðjudagur,Selasa,Martedì,ᐊᐃᑉᐱᖅ,火曜日,화요일,Trešdiena,Antradienis,Wtorek,Terça-feira,Terça-feira,Вторник,Utorok,Martes,วันอังคาร,Salı,Вівторок,Thứ ba
,days-4,Wednesday,Mercredi,Woensdag,E mërkurë,الأربعاء,Չորեքշաբթի,Сряда,星期三,星期三,Středa,Woensdag,Kolmapäev,Mittwoch,Τετάρτη,बुधवार,Szerda,Miðvikudagur,Rabu,Mercoledì,ᐱᖓᑦᓯᖅ,水曜日,수요일,Ceturtdiena,Trečiadienis,Środa,Quarta-feira,Quarta-feira,Среда,Streda,Miércoles,วันพุธ,Çarşamba,Середа,Thứ tư
,days-5,Thursday,Jeudi,Donderdag,E enjte,الخميس,Հինգշաբթի,Четвъртък,星期四,星期四,Čtvrtek,Donderdag,Neljapäev,Donnerstag,Πέμπτη,बृहस्पतिवार,Csütörtök,Fimmtudagur,Kamis,Giovedi,ᕿᑎᖅᑰᑦ,木曜日,목요일,Piektdiena,Ketvirtadienis,Czwartek,Quinta-feira,Quinta-feira,Четверг,Štvrtok,Jueves,วันพฤหัสบดี,Perşembe,Четвер,Thứ năm
,days-6,Friday,Vendredi,Vrydag,E premte,الجمعة,Ուրբաթ,Петък,星期五,星期五,Pátek,Vrijdag,Reede,Freitag,Παρασκευή,शुक्रवार,Péntek,Föstudagur,Jumat,Venerdì,ᐅᓪᓗᑐᐃᓐᓇᖅ,金曜日,금요일,Sestdiena,Penktadienis,Piątek,Sexta-feira,Sexta-feira,Пятница,Piatok,Viernes,วันศุกร์,Cuma,П’ятниця,Thứ sáu
,days-7,Saturday,Samedi,Saterdag,E shtunë,السبت,Շաբաթ,Събота,星期六,星期六,Sobota,Zaterdag,Laupäev,Samstag,Σάββατο,शनिवार,Szombat,Laugardagur,Sabtu,Sabato,ᓯᕙᑖᕐᕕᒃ,土曜日,토요일,Svētdiena,Šeštadienis,Sobota,Sábado,Sábado,Суббота,Sobota,Sábado,วันเสาร์,Cumartesi,Субота,Thứ bảy
,mnths-1,January,janvier,Januarie,Janar,يناير,Հունվար,Януари,一月,一月,Leden,Januari,Jaanuar,Januar,Ιανουάριος,जनवरी,Január,Janúar,Januari,Gennaio,ᔮᓐᓄᐊᓕ,1月,1월,Janvāris,Sausis,Styczeń,Janeiro,Janeiro,Январь,Január,Enero,มกราคม,Ocak,Січень,Tháng một
,mnths-2,February,février,Februarie,Shkurt,فبراير,Փետրվար,Февруари,二月,二月,Únor,Februari,Veebruar,Februar,Φεβρουάριος,फरवरी,Február,Febrúar,Februari,Febbraio,ᕕᕝᕗᐊᓕ,2月,2월,Februāris,Vasaris,Luty,Fevereiro,Fevereiro,Февраль,Február,Febrero,กุมภาพันธ์,Şubat,Лютий,Tháng Hai
,mnths-3,March,mars,Maart,Mars,مسيرة,Մարտ,Март,三月,三月,Březen,Maart,Märts,März,Μάρτιος,मार्च,Március,Mars,Maret,Marzo,ᒫᔾᔨ,3月,행진,Marts,Kovas,Marzec,Março,Março,Март,Marec,Marzo,มีนาคม,Mart,Березень,Biên giới
,mnths-4,April,avril,April,Prill,أبريل,Ապրիլ,Април,四月,四月,Duben,April,Aprill,April,Απρίλιος,अप्रैल,Április,Apríl,April,Aprile,ᐊᐃᕐᕆᓕ,4月,4월,Aprīlis,Balandis,Kwiecień,Abril,Abril,Апрель,Apríl,Abril,เมษายน,Nisan,Квітень,Tháng Tư
,mnths-5,May,mai,Mei,Mund,قد,Մայիս,Май,五月,五月,Květen,Mei,Mai,Mai,Μάιος,मई,Május,Maí,Mei,Maggio,ᒪᐃ,5月,할 수있다,Maijs,Gegužė,Maj,Maio,Maio,Май,Máj,Mayo,พฤษภาคม,Mayıs,Травень,May
,mnths-6,June,juin,Junie,Qershor,يونيو,Հունիս,Юни,六月,六月,Červen,Juni,Juuni,Juni,Ιούνιος,जून,Június,Júní,Juni,Giugno,ᔫᓂ,6月,6월,Jūnijs,Birželis,Czerwiec,Junho,Junho,Июнь,Jún,Junio,มิถุนายน,Haziran,Червень,Tháng Sáu
,mnths-7,July,juillet,Julie,Korrik,يوليو,Հուլիս,Юли,七月,七月,Červenec,Juli,Juuli,Juli,Ιούλιος,जुलाई,Július,Júlí,Juli,Luglio,ᔪᓚᐃ,7月,7월,Jūlijs,Liepa,Lipiec,Julho,Julho,Июль,Júl,Julio,กรกฎาคม,Temmuz,Липень,Tháng Bảy
,mnths-8,August,août,Augustus,Gusht,أغسطس,Օգոստոս,Август,八月,八月,Srpen,Augustus,August,August,Αύγουστος,अगस्त,Augusztus,Ágúst,Agustus,Agosto,ᐋᒡᒌᓯ,8月,위엄있는,Augusts,Rugpjūtis,Sierpień,Agosto,Agosto,Август,August,Agosto,สิงหาคม,Ağustos,Серпень,Oai phong
,mnths-9,September,septembre,September,Shtator,سبتمبر,Սեպտեմբեր,Септември,九月,九月,Září,September,September,September,Σεπτέμβριος,सितंबर,Szeptember,September,September,Settembre,ᓯᑎᐱᕆ,9月,9월,Septembris,Rugsėjis,Wrzesień,Setembro,Setembro,Сентябрь,Septembra,Septiembre,กันยายน,Eylül,Вересень,Tháng Chín
,mnths-10,October,octobre,Oktober,Tetor,أكتوبر,Հոկտեմբեր,Октомври,十月,十月,Říjen,Oktober,Oktoober,Oktober,Οκτώβριος,अक्टूबर,Október,Október,Oktober,Ottobre,ᐅᑐᐱᕆ,10月,10월,Octobris,Spalis,Październik,Outubro,Outubro,Октябрь,Október,Octubre,ตุลาคม,Ekim,Жовтень,Tháng Mười
,mnths-11,November,novembre,November,Nëntor,نوفمبر,Նոյեմբեր,Ноември,十一月,十一月,Listopad,November,November,November,Νοέμβριος,नवंबर,November,Nóvember,November,Novembre,ᓄᕕᐱᕆ,11月,11월,Novembris,Lapkritis,Listopad,Novembro,Novembro,Ноябрь,November,Noviembre,พฤศจิกายน,Kasım,Листопад,Tháng mười một
,mnths-12,December,décembre,Desember,Dhjetor,ديسمبر,Դեկտեմբեր,Декември,十二月,十二月,Prosinec,December,Detsember,Dezember,Δεκέμβριος,दिसंबर,December,Desember,Desember,Dicembre,ᑎᓯᐱᕆ,12月,12월,Decembris,Gruodis,Grudzień,Dezembro,Dezembro,Декабрь,December,Diciembre,ธันวาคม,Aralık,Грудень,Tháng mười hai
,cal,Calendar,Calendrier,Kalender,Kalendar,تقويم,Օրացույց,Календар,日曆,日历,Kalendář,Kalender,Kalender,Kalender,Ημερολόγιο,कैलेंडर,Naptár,Dagbók,Kalender,Calendario,ᐅᓪᓗᖅᓯᐅᑎ,カレンダー,달력,Kalendārs,Kalendorius,Kalendarz,Calendário,Calendário,Календарь,Kalendár,Calendario,ปฏิทิน,Takvim,Календар,Lịch
,cal-format,"<span class='wb-inv'>{ddd}, {M} </span>{d}<span class='wb-inv'>, {Y}</span>","<span class='wb-inv'>{ddd}, </span>{d}<span class='wb-inv'> {M} {Y}</span>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,currDay,(Current day),(Jour courrant),(Huidige dag),(Dita aktual),(اليوم الحالي),(Ընթացիկ օր),(Текущия ден),現在日期,当天,(Aktuální den),(Vandaag),(Tänane päev),(Aktueller Tag),(Τρέχουσα ημέρα),(वर्तमान दिन),(Mai nap),(Núverandi dag),Hari ini,(Giorno attuale),(ᒫᓐᓇᐅᔪᐊᖅ ᐅᓪᓗᖓ),（今日）,(현재 일),(Šodien),(Šiandien),(Bieżący dzień),(hoje),(hoje),(Текущий день),(Aktuálny deň),(hoy),(วันที่ปัจจุบัน),(Geçerli gün),(Поточний день),(Ngày hiện tại)
,cal-goToLnk,"Go to<span class=""wb-inv""> month of year</span>","Aller au<span class=""wb-inv""> mois de l\'année</span>","Gaan na<span class=""wb-inv""> maand van die jaar</span>","Shko tek<span class=""wb-inv""> muaji të vitit</span>","<span class=""wb-inv"">انتقل إلى الشهر </span>من العام","Գնալ<span class=""wb-inv""> ամսվա տարվա</span>","Отиди на<span class=""wb-inv""> месец на годината</span>","轉到<span class=""wb-inv"">月份的一年</span>","转到<span class=""wb-inv"">月份的一年</span>","Přejít na<span class=""wb-inv""> měsíc roku</span>","Ga naar<span class=""wb-inv""> de maand of het jaar</span>","Mine aastas</span>  kuule <span class=""wb-inv""> ","Gehe zu<span class=""wb-inv""> Monat des Jahres</span>","Πηγαίνετε στο<span class=""wb-inv""> μήνα του έτους</span>","<span class=""wb-inv"">वर्ष के महीने के लिए </span>जाओ","Ugrás<span class=""wb-inv""> erre a hónapra</span>","Fara í<span class=""wb-inv""> mánuð á ári</span>","Pilih<span class=""invisible""> bulan dan tahun</span>","Vai ad un<span class=""wb-inv""> mese dell\'anno</span>","ᐅᕗᙵᕐᓕ<span class=""wb-inv""> ᐊᕐᕌᒎᑉ ᐅᓪᓗᐊ</span>","<span class=""wb-inv"">月</span>に移動","<span class=""wb-inv"">년 개월</span>로 이동","Iet uz<span class=""wb-inv""> gada mēnesi</span>","Eiti į<span class=""wb-inv""> mėnesius</span>","Idź do<span class=""wb-inv""> miesiąca w roku</span>","Ir para o<span class=""wb-inv""> mês do ano</span>","Ir para o<span class=""wb-inv""> mês do ano</span>","Перейти к<span class=""wb-inv""> месяцу года</span>","Prejsť na<span class=""wb-inv"">  mesiac roka</span>","Ir a<span class=""wb-inv""> mes del año</span>","ไป<span class=""wb-inv"">เดือนของปี</span>","<span class=""wb-inv"">Yılın ayına </span>Git","Перейти до<span class=""wb-inv""> місяця року</span>",Tới tháng trong năm
,cal-goToTtl,Go to month of year,Aller au mois de l\'année,Gaan na maand van die jaar,Shko tek muaji të vitit,انتقل إلى الشهر من العام,Գնալ ամսվա տարվա,Отиди на месец на годината,轉到某年的某月份,转到月份的一年,Přejít na měsíc roku,Ga naar de maand of het jaar,Mine sellele kuule aastas,Gehe zu Monat des Jahres,Πηγαίνετε στο μήνα του έτους,वर्ष के महीने के लिए जाओ,Ugrás erre a hónapra,Fara í mánuð á ári,Pilih bulan dan tahun,Vai al mese dell\'anno,ᐊᕐᕌᒎᑉ ᑕᖅᑭᖓᓅᕐᓕ,月移動,년 개월로 이동,Iet uz gada mēnesi,Eiti į mėnesius,Idź do miesiąca w roku,Ir para o mês do ano,Ir para o mês do ano,Перейти к месяцу года,Prejsť na mesiac roka,Ir al mes del año,ไปเดือนของปี,Yılın ayına git,Перейти до місяця року,Tới tháng trong năm
,cal-goToMnth,Month:,Mois :,Maand:,Muaj:,الشهر:,Ամիս:,Месец:,月：,月份：,Měsíc:,Maand:,Kuu,Monat,Μήνας,माह:,Hónap:,Mánuður:,Bulan:,Mese:,ᑕᖅᑭᖅ:,月：,월:,Mēnesis:,Mėnesiai:,Miesiąc:,Mês:,Mês:,Месяц:,Mesiac:,Mes:,เดือน:,Ay:,Місяц:,Tháng:
,cal-goToYr,Year:,Année :,Jaar:,Vit:,العام:,Տարի:,Година:,年：,年份：,Rok:,Jaar:,Aasta,Jahr,Έτος,वर्ष:,Év:,Ár:,Tahun:,Anno:,ᐊᕐᕌᒍ:,年：,년:,Gads:,Metai:,Rok:,Ano:,Ano:,Год:,Rok:,Año:,ปี:,Yıl:,Рік:,Năm:
,cal-goToBtn,Go,Aller,Gaan,Shkoj,تذهب,Գնալ,Отивам,前往,去,Jít,Ga,Mine,Gehen,Πάω,जाना,Indít,Farðu,Pilih,Andare,ᐊᑏ,進む,가다,Iet uz,Eiti,Przejdź,Ir,Ir,Перейти,Ísť,Ir,ไป,Git,Перейти,Đi
,prvMnth,Previous Month: ,Mois précédent : ,Vorige Maand: ,Muajin e kaluar: ,الشهر الماضي: ,Էջանշան դնել Դարձնել սկզբնական: ,Предходния месец: ,上一月：,上个月：,Předchozí měsíc: ,Vorige maand: ,Eelmine kuu: ,Vorheriger Monat: ,Προηγούμενος Μήνας: ,पिछले माह: ,Előző hónap: ,Fyrri mánuður: ,Bulan sebelumnya: ,Mese Precedente: ,ᑕᖅᑭᐅᓵᖅᑐᖅ:,前の月へ,이전 월: ,Iepriekšējais mēnesis: ,Ankstesnis mėnuo: ,Poprzedni miesiąc: ,Mês anterior: ,Mês anterior: ,Предыдущий месяц: ,Predchádzajúci mesiac: ,Mes anterior: ,เดือนก่อน: ,Önceki ay: ,Попередній місяць: ,Tháng trước: 
,nxtMnth,Next Month: ,Mois suivant : ,Volgende Maand: ,Muajin e ardhshëm: ,الشهر المقبل: ,Հաջորդ ամիս: ,Следващия месец: ,下一月：,下个月：,Příští měsíc: ,Volgende maand: ,Järgmine kuu: ,Nächster Monat: ,Επόμενος Μήνας: ,अगला महीना: ,Következő hónap: ,Næsti mánuður: ,Bulan berikutnya: ,Prossimo Mese: ,ᑕᖅᑭᐅᓂᐊᖅᑐᖅ:,次の月へ,다음 월: ,Nākošais mēnesis: ,Sekantis mėnuo: ,Następny miesiąc: ,Próximo mês: ,Próximo mês: ,Следующий месяц: ,Budúci mesiac: ,Mes siguiente: ,เดือนถัดไป: ,Sonraki ay: ,Наступний місяць: ,Tháng sau: 
Slideout,show-toc,Show table of contents,Afficher la table des matières,Wys inhoudsopgawe,Trego tabelën e përmbajtjeve,عرض جدول المحتويات,Ցույց տալ բովանդակությունը,Покажи съдържание,顯示表的內容,显示表的内容,Zobrazit obsah,Inhoudsopgave tonen,Näita sisukorda,Inhaltsverzeichnis anzeigen,Εμφάνιση τον πίνακα των περιεχομένων,सामग्री की तालिका,Megjelenítés tartalomjegyzék,Sýna efnisyfirlit,Tampilkan daftar isi,Mostra l\'indice,ᐃᓗᐊᓃᑦᑐᑦ ᓴᖅᑭᓪᓖᑦ,目次を表示する,목차보기,Parādīt satura,Rodyti turinį,Pokaż spis treści,Ver tabela de conteúdos,Ver o índice,Показать оглавление,Zobraziť obsah,Mostrar el índice,แสดงตารางของเนื้อหา,Içindekiler göster,Показати зміст,Hiển thị mục lục
,hide-toc,Hide table of contents,Cacher la table des matières,Steek inhoudsopgawe,Hide tabelën e përmbajtjeve,إخفاء جدول المحتويات,Թաքցնել բովանդակությունը,Скриване на съдържание,隱藏表格的內容,隐藏表格的内容,Skrýt obsah,Inhoudsopgave verbergen,Peida sisukord,Ausblenden des Inhaltsverzeichnisses,Απόκρυψη της τον πίνακα των περιεχομένων,सामग्री की तालिका छुपाएं,Hide tartalomjegyzék,Fela efnisyfirlit,Menyembunyikan daftar isi,Nascondi indice,ᐃᓗᐊᓃᑦᑐᑦ ᓴᖅᑭᔮᕈᓐᓂᖅᑎᓪᓖᑦ,目次を表示しない,목차 숨기기,Slēpt satura,Slėpti turinys,Ukryj spis treści,Ocultar tabela de conteúdos,Ocultar o índice,Скрыть оглавление,Skryť obsah,Ocultar el índice,ซ่อนตารางของเนื้อหา,Içindekiler gizle,Сховати зміст,Ẩn bảng nội dung
,toc,table of contents,la table des matières,inhoudsopgawe,përmbajtje,جدول المحتويات,Բովանդակություն,съдържание,目錄,内容表,obsah,inhoudsopgave,sisukord,Inhaltsverzeichnis,πίνακα των περιεχομένων,सामग्री तालिका,tartalomjegyzék,efnisyfirlit,daftar isi,Indice,ᐃᓗᐊᓃᑦᑐᑦ,目次,차례,saturs,turinys,spis treści,conteúdo,Índice,оглавление,obsah,índice,สารบัญ,içindekiler,зміст,bảng nội dung
Lightbox,lb-curr,Item %curr% of %total%,Article %curr% de %total%,Item %curr% van %total%,Pika %curr% e %total%,البند %curr% من %total%,Կոդ %curr% %total% - ից,Член %curr% от %total%,所有項目%curr%的%total%,项目%curr%的%total%,Bod %curr% %total%,Onderdeel %curr% van een totaal van %total%,Kirje %curr% koguhulgast %total%,Artikel %curr% von %total%,Αντικείμενο %curr% από ​​%total%,%total% में से %curr% आइटम,%total%-ből %curr%,Item %curr% af %total%,Artikel ke-%curr% dari %total%,Articolo %curr% di %total%,,%total% 件中 %curr% 件目,%total% 항목 %curr%,Vienums %curr% no %total%,Punktas %curr% iš %total%,Pozycja %curr% z %total%,Ítem %curr% de %total%,Ítem %curr% de %total%,Пункт %curr% из %total%,Bod %curr% %total%,Artículo %curr% de %total%,%curr% รายการจาก %total%,%total% de %curr% inci madde,Знайдено %curr% із %total%,Khoản %curr% của %total%
